fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-01-31,USD,140919000,None,None,None,None,21393000,33464000,None,-24832000,None,-97121000,-76539000,None,None,None,None,None,None,None,None,None,None,-145583000,None,None,None,None,76393000
2006-04-30,USD,171928000,None,None,None,None,22806000,36439000,None,-7850000,None,-188012000,291991000,None,None,None,None,None,None,None,None,None,None,-98761000,None,13293000,None,None,59221000
2006-07-31,USD,164564000,None,None,None,None,23895000,23056000,None,-520000,None,24359000,-207526000,None,None,None,None,None,None,None,None,None,None,-220000000,None,None,None,None,54670000
2006-10-31,USD,238838000,None,None,None,None,25849000,52957000,None,8715000,None,-7742000,-150972000,None,None,None,None,None,None,None,None,None,None,-143908000,None,None,None,None,86930000
2007-01-31,USD,250307000,None,None,None,None,29028000,36398000,None,-4700000,None,-102810000,-179883000,None,None,None,None,None,None,None,None,None,None,-241800000,None,None,None,None,66514000
2007-04-30,USD,210747000,None,None,None,None,32061000,53417000,None,6413000,None,2415000,-208877000,None,None,None,None,None,None,None,None,None,None,-200000000,None,163033000,None,None,89621000
2007-07-31,USD,200899000,None,None,None,None,33627000,33586000,None,-3145000,None,93671000,-160372000,None,None,None,None,None,None,None,None,None,None,-200000000,None,40411000,None,None,34337000
2007-10-31,USD,227672000,None,None,None,None,35077000,37572000,None,-4558000,None,35523000,-250736000,None,None,None,None,None,None,None,None,None,None,-499973000,None,-13491000,None,None,83758000
2008-01-31,USD,287014000,None,None,None,None,35648000,53689000,None,2519000,None,-31593000,-98266000,None,None,None,None,None,None,None,None,None,None,-144278000,None,1588000,None,None,101823000
2008-04-30,USD,293301000,None,None,None,None,39832000,63433000,None,-10198000,None,5304000,-153018000,None,None,None,None,None,None,None,None,None,None,-59453000,None,119456000,None,None,89820000
2008-07-31,USD,250195000,None,None,None,None,41549000,76613000,None,6742000,None,-233519000,749015000,None,None,None,None,None,None,None,None,None,None,-399982000,None,36405000,None,None,37672000
2008-10-31,USD,207440000,None,None,None,None,43918000,27354000,None,-14756000,None,-687252000,-32382000,None,None,None,None,None,None,None,None,None,None,10000000,None,-57000,None,None,49181000
2009-01-31,USD,236000000,None,None,None,None,44367000,50934000,None,-3945000,None,343342000,-38473000,None,None,None,None,None,None,None,None,None,None,1000,None,3031000,None,None,-75392000
2009-04-30,USD,195595000,None,None,None,None,40704000,134756000,None,21085000,None,-425892000,18440000,None,None,None,None,None,None,None,None,None,None,12500000,None,140754000,None,None,75084000
2009-07-31,USD,38234000,None,None,None,None,43041000,24714000,None,-440000,None,208480000,33276000,None,None,None,None,None,None,None,None,None,None,None,None,52184000,None,None,51664000
2009-10-31,USD,267295000,None,None,None,None,42148000,22776000,None,774000,None,-354740000,28245000,None,None,None,None,None,None,None,None,None,None,27400000,None,33245000,None,None,95677000
2010-01-31,USD,194913000,None,None,None,None,40774000,49732000,None,-11231000,None,-38275000,96187000,None,None,None,None,None,None,None,None,None,None,103500000,None,36658000,None,None,107880000
