fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1997-07-31,1997-09-03,0.27,0.29,-0.02,-6.8966,pre-market
1997-10-31,1998-01-12,0.32,0.35,-0.03,-8.5714,pre-market
1998-01-31,1998-03-16,0.27,0.37,-0.1,-27.027,pre-market
1998-04-30,1998-06-02,0.27,0.32,-0.05,-15.625,pre-market
1998-07-31,1998-09-09,0.27,0.37,-0.1,-27.027,pre-market
1998-10-31,1999-01-19,0.27,0.48,-0.21,-43.75,pre-market
1999-01-31,1999-01-31,0.2025,None,0,None,pre-market
1999-04-30,1999-04-30,0.2752,None,0,None,pre-market
1999-07-31,1999-07-31,0.255,None,0,None,pre-market
1999-10-31,1999-10-31,0.4373,None,0,None,pre-market
2000-01-31,2000-01-31,0.2895,None,0,None,pre-market
2000-04-30,2000-04-30,0.3802,None,0,None,pre-market
2000-07-31,2000-07-31,0.3386,None,0,None,pre-market
2000-10-31,2000-10-31,0.1585,None,0,None,pre-market
2001-01-31,2001-01-31,-0.0163,None,0,None,pre-market
2001-04-30,2001-04-30,-0.5181,None,0,None,pre-market
2001-07-31,2001-07-31,0.1239,None,0,None,pre-market
2001-10-31,2001-10-31,-0.5439,None,0,None,pre-market
2002-01-31,2002-01-31,0.0872,None,0,None,pre-market
2002-04-30,2002-04-30,0.0156,None,0,None,pre-market
2002-07-31,2002-07-31,-0.1091,None,0,None,pre-market
2002-10-31,2003-01-23,0.05,-0.03,0.08,266.6667,pre-market
2003-01-31,2003-03-11,-0.02,0.01,-0.03,-300,pre-market
2003-04-30,2003-06-05,0.02,0.02,0,0,pre-market
2003-07-31,2003-09-11,-0.01,0.03,-0.04,-133.3333,pre-market
2003-10-31,2004-01-14,0.07,0.03,0.04,133.3333,pre-market
2004-01-31,2004-03-09,0.01,0.04,-0.03,-75,pre-market
2004-04-30,2004-06-14,0.01,0.02,-0.01,-50,pre-market
2004-07-31,2004-09-08,0.06,0.01,0.05,500,pre-market
2004-10-31,2005-01-10,0.059,None,0,None,pre-market
2005-01-31,2005-03-15,0.0389,None,0,None,pre-market
2005-04-30,2005-06-13,0.0627,None,0,None,pre-market
2005-07-31,2005-09-06,0.0673,None,0,None,pre-market
2005-10-31,2006-01-09,0.0336,None,0,None,pre-market
2006-01-31,2006-03-17,-0.0378,None,0,None,pre-market
2006-04-30,2006-06-13,-0.0515,None,0,None,pre-market
2006-07-31,2006-09-14,0.0213,None,0,None,pre-market
2006-10-31,2007-01-26,0.13,None,0,None,pre-market
2007-01-31,2007-03-19,-0.0242,None,0,None,pre-market
2007-04-30,2007-06-13,0.0106,None,0,None,pre-market
2007-07-31,2007-09-17,0.0866,None,0,None,pre-market
2007-10-31,2008-01-28,0.1305,None,0,None,pre-market
2008-01-31,2008-03-14,0.1415,None,0,None,pre-market
2008-04-30,2008-06-12,0.1451,None,0,None,pre-market
2008-07-31,2008-09-16,0.0797,None,0,None,pre-market
2008-10-31,2009-01-30,-0.0017,None,0,None,pre-market
2009-01-31,2009-03-17,-0.1211,None,0,None,pre-market
2009-04-30,2009-06-11,0.0026,None,0,None,pre-market
2009-07-31,2009-09-11,-0.1899,None,0,None,pre-market
2009-10-31,2010-01-29,-0.0159,None,0,None,pre-market
2010-01-31,2010-03-18,-0.0539,None,0,None,pre-market
2010-04-30,2010-06-15,-1.2674,None,0,None,pre-market
2010-07-31,2010-09-13,0.0886,None,0,None,pre-market
2010-10-31,2011-01-24,0.2307,None,0,None,pre-market
2011-01-31,2011-03-17,0.0643,None,0,None,pre-market
2011-04-30,2011-06-14,-0.0156,None,0,None,pre-market
2011-07-31,2011-09-12,0.0184,None,0,None,pre-market
2011-10-31,2012-01-26,0.0374,None,0,None,pre-market
2012-01-31,2012-03-12,0.0306,None,0,None,pre-market
2012-04-30,2012-06-08,0.1485,None,0,None,pre-market
2012-07-31,2012-09-10,0.176,None,0,None,pre-market
2012-10-31,2012-12-20,0.0673,None,0,None,pre-market
2013-01-31,2013-03-15,0.0206,None,0,None,pre-market
2013-04-30,2013-06-12,0.0068,None,0,None,pre-market
2013-07-31,2013-09-12,-0.0216,None,0,None,pre-market
2013-10-31,2013-12-19,-0.0151,None,0,None,pre-market
2014-01-31,2014-03-14,-0.0685,None,0,None,pre-market
2014-04-30,2014-06-11,-0.0237,None,0,None,pre-market
2014-07-31,2014-09-10,0.0422,None,0,None,pre-market
2014-10-31,2014-12-18,0.1379,None,0,None,pre-market
2015-01-31,2015-03-10,-0.0364,None,0,None,pre-market
2015-04-30,2015-06-12,-0.0795,None,0,None,pre-market
2015-07-31,2015-09-11,-0.0922,None,0,None,pre-market
2015-10-31,2016-01-28,-0.475,None,0,None,pre-market
2016-01-31,2016-03-14,-0.28,None,0,None,pre-market
2016-04-30,2016-06-07,-0.1547,None,0,None,pre-market
2016-07-31,2016-09-13,0.0264,None,0,None,pre-market
2016-10-31,2016-12-20,0.1071,None,0,None,pre-market
2017-01-31,2017-03-08,-0.0949,None,0,None,pre-market
2017-04-30,2017-06-13,-0.04,None,0,None,pre-market
