fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-05-31,USD,569233000,None,None,None,None,94414000,81143000,None,None,None,-310050000,-199429000,None,None,None,None,231554000,231554000,None,None,None,None,None,None,-975000,None,None,464914000
2007-05-31,USD,631227000,None,None,None,None,96986000,79020000,None,None,None,-440900000,-248397000,None,None,None,None,301313000,301313000,None,None,None,None,None,None,-2129000,None,None,515447000
2008-05-31,USD,724669000,None,None,None,None,99647000,82289000,None,None,None,933165000,-1572950000,None,None,None,None,442146000,442146000,None,None,None,None,-999999000,None,-6450000,None,None,576145000
2009-05-31,USD,688771000,None,None,None,None,108728000,64709000,None,15069000,None,404462000,-784701000,None,None,None,None,447732000,447732000,None,None,None,None,None,None,25707000,None,None,533545000
2010-05-31,USD,610923000,None,None,None,None,86445000,61262000,-11140000,-3520000,None,-401322000,-398054000,None,None,None,None,448558000,448558000,None,None,None,None,0,None,25580000,-188453000,None,476999000
2011-05-31,USD,715300000,None,None,None,None,88700000,103300000,23000000,0,None,-409500000,-471100000,None,None,None,None,448800000,448800000,None,None,None,None,0,None,24800000,-165300000,None,515300000
2012-05-31,USD,706600000,None,None,None,None,97800000,89600000,16400000,-10600000,None,-1244300000,527500000,None,None,None,None,460500000,460500000,None,None,None,None,7500000,None,22900000,-10200000,None,548000000
2013-05-31,USD,675300000,None,None,None,None,98200000,98700000,6500000,-47400000,None,181700000,-858500000,None,None,None,None,476700000,476700000,None,None,None,None,0,None,22800000,-1500000,None,569000000
2014-05-31,USD,880900000,None,None,None,None,105000000,84100000,-22100000,18600000,None,-316100000,-519600000,None,None,None,None,510600000,510600000,None,None,None,None,-249700000,None,26300000,45200000,None,627500000
2015-05-31,USD,895200000,None,None,None,None,106600000,102800000,-29800000,-10100000,None,-285000000,-592700000,None,None,None,None,551800000,551800000,None,None,None,None,-182400000,None,31400000,17500000,None,674900000
2016-05-31,USD,1018200000,None,None,None,None,115100000,97700000,-35700000,-3200000,None,-63100000,-993600000,None,None,None,None,606500000,606500000,None,None,None,None,-107900000,None,34600000,-38500000,None,756800000
2017-05-31,USD,960400000,None,None,None,None,126900000,94300000,-103500000,-33900000,None,-424600000,-482700000,None,None,None,None,662300000,662300000,None,None,None,None,-166200000,None,35400000,53100000,None,817300000
2018-05-31,USD,1276400000,None,None,None,None,138000000,154000000,17300000,21400000,None,-679000000,-423800000,None,None,None,None,739700000,739700000,None,None,None,None,-143100000,None,44600000,173600000,None,933700000
2019-05-31,USD,1271500000,None,None,None,None,181500000,123800000,-112400000,None,None,-1628300000,-1008500000,None,None,None,None,826800000,826800000,None,None,None,None,-56900000,None,46200000,-1365300000,None,1034400000
2020-05-31,USD,1440900000,None,None,None,None,209700000,127000000,56300000,-400000,None,771900000,-1488200000,None,None,None,None,889400000,889400000,None,None,None,None,-171900000,None,47400000,724600000,None,1098100000
2021-05-31,USD,1260300000,None,None,None,None,192000000,114600000,-271100000,-14000000,None,-460600000,-636400000,None,None,None,None,908700000,908700000,None,None,None,None,-155700000,None,52500000,163300000,None,1097500000
2022-05-31,USD,1505500000,None,None,None,None,191800000,132600000,-274900000,None,None,-1420900000,-979300000,None,None,None,None,999600000,999600000,None,None,None,None,-145200000,None,52800000,-894700000,None,1392800000
2023-05-31,USD,1699400000,None,None,None,None,176600000,143000000,-125700000,-19900000,None,218500000,-711400000,None,None,None,None,1175000000,1175000000,None,None,None,None,-169200000,None,62600000,1206500000,None,1557300000
2024-05-31,USD,1897700000,None,None,None,None,176500000,161400000,None,None,None,-260900000,-1874700000,None,None,None,None,1315300000,1315300000,None,None,None,None,-169200000,None,61100000,None,None,1690400000
2025-05-31,USD,1951100000,None,None,None,None,209500000,191800000,None,None,None,-3676700000,2562900000,None,None,None,None,1448500000,1448500000,None,None,None,None,-104500000,None,111800000,None,None,1657300000
