fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-02-29,1996-03-15,0.04,0.04,0,0,pre-market
1996-05-31,1996-07-02,0.04,0.04,0,0,pre-market
1996-08-31,1996-09-18,0.05,0.04,0.01,25,pre-market
1996-11-30,1996-12-16,0.05,0.05,0,0,pre-market
1997-02-28,1997-03-17,0.05,0.05,0,0,pre-market
1997-05-31,1997-06-30,0.06,0.05,0.01,20,pre-market
1997-08-31,1997-09-16,0.06,0.06,0,0,pre-market
1997-11-30,1997-12-18,0.07,0.06,0.01,16.6667,pre-market
1998-02-28,1998-03-17,0.07,0.07,0,0,pre-market
1998-05-31,1998-06-30,0.08,0.07,0.01,14.2857,pre-market
1998-08-31,1998-09-15,0.08,0.08,0,0,pre-market
1998-11-30,1998-12-15,0.09,0.09,0,0,pre-market
1999-02-28,1999-03-17,0.1,0.09,0.01,11.1111,pre-market
1999-05-31,1999-06-29,0.1,0.1,0,0,pre-market
1999-08-31,1999-09-16,0.11,0.11,0,0,pre-market
1999-11-30,1999-12-16,0.12,0.12,0,0,pre-market
2000-02-29,2000-03-16,0.13,0.12,0.01,8.3333,pre-market
2000-05-31,2000-06-26,0.14,0.13,0.01,7.6923,pre-market
2000-08-31,2000-09-20,0.16,0.14,0.02,14.2857,pre-market
2000-11-30,2000-12-20,0.16,0.16,0,0,pre-market
2001-02-28,2001-03-19,0.18,0.17,0.01,5.8824,pre-market
2001-05-31,2001-06-25,0.18,0.18,0,0,pre-market
2001-08-31,2001-09-20,0.19,0.19,0,0,pre-market
2001-11-30,2001-12-19,0.18,0.19,-0.01,-5.2632,pre-market
2002-02-28,2002-03-19,0.18,0.18,0,0,pre-market
2002-05-31,2002-06-25,0.18,0.19,-0.01,-5.2632,pre-market
2002-08-31,2002-09-18,0.2,0.19,0.01,5.2632,post-market
2002-11-30,2002-12-19,0.2,0.19,0.01,5.2632,post-market
2003-02-28,2003-03-20,0.19,0.19,0,0,post-market
2003-05-31,2003-06-24,0.19,0.19,0,0,post-market
2003-08-31,2003-09-23,0.21,0.2,0.01,5,post-market
2003-11-30,2003-12-18,0.21,0.21,0,0,post-market
2004-02-29,2004-03-18,0.21,0.21,0,0,post-market
2004-05-31,2004-06-24,0.2,0.21,-0.01,-4.7619,post-market
2004-08-31,2004-09-21,0.23,0.23,0,0,post-market
2004-11-30,2004-12-21,0.23,0.23,0,0,post-market
2005-02-28,2005-03-21,0.24,0.24,0,0,post-market
2005-05-31,2005-06-27,0.27,0.24,0.03,12.5,post-market
2005-08-31,2005-09-27,0.3,0.28,0.02,7.1429,post-market
2005-11-30,2005-12-21,0.3,0.29,0.01,3.4483,post-market
2006-02-28,2006-03-28,0.3,0.31,-0.01,-3.2258,post-market
2006-05-31,2006-06-28,0.32,0.32,0,0,post-market
2006-08-31,2006-09-26,0.35,0.34,0.01,2.9412,post-market
2006-11-30,2006-12-20,0.35,0.34,0.01,2.9412,post-market
2007-02-28,2007-03-28,0.35,0.35,0,0,post-market
2007-05-31,2007-06-27,0.36,0.36,0,0,post-market
2007-08-31,2007-09-26,0.4,0.39,0.01,2.5641,post-market
2007-11-30,2007-12-19,0.4,0.39,0.01,2.5641,post-market
