fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-03-31,USD,935443000,None,81588000,81588000,116782000,None,None,341293000,None,128067000,128067000,117218000,None,None,68949000,19542000,None,336086000,103032000,68314000,None,None,None,None,None,226876000,None,None,None,34718000,None,599357000,None,41822000,462696000,None
2007-03-31,USD,1089634000,None,229034000,229034000,112975000,None,None,373455000,None,123383000,123383000,114897000,None,None,89678000,16585000,None,369967000,113216000,61203000,None,None,None,None,None,245709000,None,None,None,47862000,None,719667000,None,125262000,480135000,None
2008-03-31,USD,2017195000,None,129750000,129750000,190753000,None,None,430237000,None,906389000,906389000,701317000,None,None,101345000,51446000,None,778558000,135591000,78674000,None,None,None,None,None,616914000,None,None,None,52202000,None,1238637000,None,134333000,955390000,None
2009-03-31,USD,1083290000,None,172989000,172989000,113611000,None,None,315127000,None,216819000,216819000,95628000,None,None,93589000,32622000,None,719250000,103766000,46745000,None,None,None,None,None,573084000,None,None,None,52028000,None,364040000,None,None,958742000,None
2010-03-31,USD,1014008000,None,104778000,104778000,122509000,None,None,247085000,None,197797000,197797000,95628000,None,None,152580000,25884000,None,483924000,152733000,82448000,None,None,None,None,None,289837000,None,None,None,42332000,None,530084000,None,None,961216000,None
2011-03-31,USD,1025393000,None,131760000,131760000,149813000,None,None,209478000,None,179313000,179313000,95628000,None,None,160303000,27690000,None,349038000,134937000,89490000,None,None,None,None,None,177557000,None,None,None,41537000,None,676355000,None,None,966764000,None
2012-03-31,USD,964584000,None,135524000,135524000,130372000,None,None,197921000,None,160769000,160769000,95628000,None,None,164878000,23270000,None,292253000,148185000,68382000,None,None,None,None,None,119102000,None,None,None,46983000,None,672331000,None,None,938014000,None
2013-03-31,USD,931999000,516236999,101662000,101662000,161193000,143647000,393850000,191526000,None,198043000,198043000,104846000,None,None,77987000,15515000,None,292985000,185714000,123468000,None,None,None,82035000,None,82123000,None,None,82035000,62181000,None,639014000,None,-619908000,1259420000,69650000
2014-03-31,USD,920312000,537418000,171898000,171898000,125703000,150598000,382894000,195996000,None,54990000,54990000,103901000,None,3841000,72067000,12000,None,243961000,219973000,79783000,None,None,87263000,23988000,None,18000,87263000,None,87263000,1103000,None,676351000,None,-607266000,1284402000,72019000
2015-03-31,USD,6892379000,1500105000,299814000,299814000,346900000,353830000,5392274000,883371000,-609576000,2307229000,2307229000,2140586000,None,4083000,244830000,254731000,None,719219000,325310000,182468000,None,None,None,393909000,None,0,None,None,None,142842000,83720000,6173160000,0,-410963000,6584247000,93211000
2016-03-31,USD,6596819000,1509210000,425881000,425881000,427551000,363736000,5087609000,1046888000,-751898000,1812515000,1812515000,2135697000,None,26050000,186808000,41384000,None,1597147000,373801000,205364000,None,None,988130000,1223346000,None,988130000,988130000,None,988130000,168437000,83056000,4999672000,0,-439808000,5442613000,141937000
2017-03-31,USD,6522323000,1461605000,545463000,545463000,430454000,357948000,5060718000,1391932000,None,1400563000,1400563000,2173914000,None,35494000,0,127740000,None,1625601000,418828000,216246000,None,None,989154000,1206773000,None,989154000,989154000,None,989154000,202582000,86108000,4896722000,0,-456366000,5357394000,127121000
2018-03-31,USD,6381519000,1843805000,926037000,926037000,472292000,345957000,4537714000,1374112000,None,860336000,860336000,2173889000,None,63765000,58010000,99519000,None,1605955000,441279000,213193000,None,None,50616000,1164676000,None,983290000,983290000,None,1033906000,228086000,118302000,4775564000,0,-458769000,5237085000,126946000
2019-03-31,USD,5808024000,1684841000,711035000,711035000,511793000,400106000,4123183000,1366513000,None,408210000,408210000,2173889000,None,97786000,901000,61907000,None,1448345000,435614000,233307000,None,None,80000,1012731000,None,919270000,None,None,921015000,160627000,93128000,4359679000,None,-321152000,4687455000,127356000
2020-03-31,USD,6560682000,1690502000,714939000,714939000,517198000,367172000,4870180000,1259203000,None,808892000,808892000,2614274000,None,22515000,459000,91193000,None,2268017000,539003000,246954000,None,None,6893000,1729014000,None,1567231000,6893000,None,1574124000,74248000,161783000,4292665000,None,0,4290377000,119293000
