fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-03-31,USD,192397000,382723000,190326000,190326000,67476000,124921000,0,124921000,None,None,None,11055000,None,None,None,19009000,56549000,18863000,None,0,None,48467000,67476000,37686000
2006-06-30,USD,214883000,425310000,210427000,210427000,85392000,129491000,0,129491000,None,None,None,11375000,None,None,None,20454000,74048000,25955000,None,0,None,64938000,85392000,48093000
2006-09-30,USD,218250000,427217000,208967000,208967000,87520000,130730000,0,130730000,None,None,None,10532000,None,None,None,20863000,76721000,25907000,None,0,None,66657000,87520000,50814000
2006-12-31,USD,235795000,465484000,229689000,229689000,97265000,138530000,58600000,138530000,None,None,None,11799000,None,None,None,21718000,85554000,28823000,None,0,None,97265000,118983000,56731000
2007-03-31,USD,238148000,478427000,240279000,240279000,92851000,145297000,0,145297000,None,None,None,13972000,None,None,None,22627000,79129000,27695000,None,0,None,70224000,92851000,51434000
2007-06-30,USD,262395000,530636000,268241000,268241000,107956000,154439000,0,154439000,None,None,None,15826000,None,None,None,23645000,93360000,32131000,None,0,None,84311000,107956000,61229000
2007-09-30,USD,271779000,532902000,261123000,261123000,113738000,158041000,0,158041000,None,None,None,13927000,None,None,None,23931000,100215000,35075000,None,0,None,89807000,113738000,65140000
2007-12-31,USD,286073000,560084000,274011000,274011000,123809000,162264000,67900000,163264000,None,None,None,12474000,None,None,None,22977000,110953000,38723000,None,0,None,122809000,145786000,72230000
2008-03-31,USD,276390000,542995000,266605000,266605000,108266000,168124000,0,168124000,None,None,None,8671000,None,None,None,23521000,97818000,34236000,None,0,None,84745000,108266000,63582000
2008-06-30,USD,305330000,594414000,289084000,289084000,126541000,178789000,0,178789000,None,None,None,11558000,None,None,None,25251000,115619000,39946000,None,0,None,101290000,126541000,75673000
2008-09-30,USD,308760000,593100000,284340000,284340000,132299000,176461000,0,176461000,None,None,None,19994000,None,None,None,26591000,115141000,39942000,None,0,None,135135000,161726000,74029000
2008-12-31,USD,297808000,575862000,278054000,278054000,119055000,178753000,87400000,178753000,None,None,None,9983000,None,None,None,27745000,107377000,35316000,None,0,None,122529000,150274000,72061000
2009-03-31,USD,251136000,505444000,254308000,254308000,86792000,164344000,0,164344000,None,None,None,13509000,None,None,None,26226000,72927000,21368000,None,0,None,86436000,112662000,51559000
2009-06-30,USD,255070000,504910000,249840000,249840000,95964000,159106000,0,159106000,None,None,None,13762000,None,None,None,25602000,85370000,25782000,None,0,None,99132000,124734000,59588000
2009-09-30,USD,245520000,485676000,240156000,240156000,91872000,153648000,0,153648000,None,None,None,14437000,None,105000,None,25280000,77540000,21130000,None,56410000,None,91977000,117257000,56410000
2009-12-31,USD,291412000,553638000,262226000,262226000,120768000,170644000,83400000,170644000,None,None,None,16836000,None,None,None,26340000,103931000,32007000,None,0,None,17319000,43659000,71924000
2010-03-31,USD,279565000,534441000,254876000,254876000,100716000,178849000,0,178849000,None,None,None,16181000,None,447000,None,28504000,84982000,25257000,None,59725000,None,101163000,129667000,59725000
2010-06-30,USD,301947000,567104000,265157000,265157000,119187000,182760000,0,182760000,None,None,None,16293000,None,-1657000,None,27946000,101237000,29956000,None,71281000,None,117530000,145476000,71281000
2010-09-30,USD,321749000,605088000,283339000,283339000,128233000,193516000,0,193516000,None,None,None,17134000,None,2631000,None,32251000,113730000,29467000,None,84263000,None,130864000,163115000,84263000
2010-12-31,USD,371865000,679479000,307614000,307614000,166158000,205707000,102400000,205707000,None,None,None,16925000,None,-788000,None,34320000,148445000,41134000,None,107311000,None,42349000,76669000,107311000
2011-03-31,USD,350096000,645309000,295213000,295213000,142000000,208096000,0,208096000,None,None,None,16696000,None,711000,None,34310000,126015000,37036000,None,88979000,None,107690000,142000000,88979000
2011-06-30,USD,377063000,699871000,322808000,322808000,163970000,213093000,0,213093000,None,None,None,16196000,None,7243000,None,34821000,155017000,48706000,None,106311000,None,171213000,206034000,106311000
2011-09-30,USD,382556000,712705000,330149000,330149000,167215000,215341000,0,215341000,None,None,None,15373000,None,690000,None,35594000,152532000,42251000,None,110281000,None,167905000,203499000,110281000
2011-12-31,USD,405849000,739204000,333355000,333355000,187354000,218495000,121700000,218495000,None,None,None,15383000,None,-548000,None,35418000,171423000,49747000,None,121676000,None,178710000,214128000,121676000
2012-03-31,USD,391193000,711066000,319873000,319873000,170304000,220889000,0,220889000,None,None,None,15483000,None,-490000,None,35467000,154331000,46022000,None,108309000,None,169814000,205281000,108309000
