fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2011-09-30,USD,157674000,0,0,0,0,115208000,29021000,0,None,None,None,0,None,None,None,None,0,1981000,None,0,None,0,None,3283000
2015-09-30,USD,382137000,843524000,461387000,461387000,-55748000,64805000,100653000,437885000,None,None,10156000,156000,None,None,None,27858000,-65535000,3242000,None,-68777000,None,-65379000,-37521000,-68777000
2016-09-30,USD,403399000,901284000,497885000,497885000,-30873000,68531000,107729000,434272000,None,-2489000,None,2489000,None,None,None,34323000,-35570000,2644000,None,-38214000,None,-33081000,1242000,-38214000
2016-10-01,USD,403399000,901284000,497885000,497885000,-30873000,326543000,107729000,932157000,None,-2489000,None,0,None,None,None,None,-35570000,2644000,None,-38214000,None,1242000,None,-38214000
2017-09-30,USD,456065000,992526000,536461000,536461000,-15609000,77118000,124394000,471674000,None,-4260000,1060000,4260000,None,None,None,35014000,-16508000,-2291000,None,-14217000,None,-12248000,22766000,-14217000
2018-09-30,USD,489308000,1137008000,647700000,647700000,-8875000,85205000,142109000,498183000,None,-4511000,None,4511000,None,-1162000,None,39358000,-14548000,1056000,None,-15604000,None,-9306000,30052000,-15604000
2019-09-30,USD,527343000,1260823000,733480000,733480000,1423000,102871000,171174000,521644000,None,1850000,4349000,2499000,None,None,None,36415000,-1076000,3690000,None,-4766000,None,1423000,37838000,-4766000
2020-09-30,USD,571956000,1326328000,754372000,754372000,-27233000,120978000,214672000,599189000,None,511000,1998000,1487000,None,8637000,None,36426000,-20083000,32000,None,-20115000,None,-18596000,17830000,-20115000
2021-09-30,USD,809994000,1716744000,906750000,906750000,154964000,152828000,230078000,655030000,None,-446000,146000,592000,None,2553000,None,33882000,156925000,-1670000,None,158595000,None,157517000,191399000,158595000
2022-09-30,USD,796367000,1752336000,955969000,955969000,89532000,170429000,256073000,706835000,None,1103000,1655000,552000,None,-21905000,None,38504000,68730000,1347000,None,67383000,None,69282000,107786000,67383000
2023-09-30,USD,716490000,1655255000,938765000,938765000,-20547000,168518000,301001000,737037000,None,9468000,10201000,733000,None,None,None,48969000,4394000,14668000,None,-10274000,None,-20547000,28422000,-10274000
2024-09-30,USD,689373000,1518056000,828683000,828683000,-48046000,138912000,304558000,737419000,None,11524000,11965000,441000,None,None,None,52378000,-27151000,10995000,None,-38146000,None,-26710000,25668000,-38146000
2025-09-30,USD,630530000,1443276000,812746000,812746000,-50468000,106717000,279969000,680998000,None,6469000,6934000,465000,None,None,None,62321000,-50497000,10647000,None,-61144000,None,-50032000,12289000,-61144000
