fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2007-06-30,USD,943000000,None,None,None,None,851000000,906000000,None,106000000,None,-402000000,-463000000,None,None,None,None,212000000,212000000,None,None,None,None,-1526000000,None,128000000,None,None,913000000
2008-06-30,USD,2538000000,None,None,None,None,844000000,930000000,None,-151000000,None,-991000000,-1545000000,None,None,None,None,216000000,216000000,None,None,None,None,-1479000000,None,113000000,None,None,1262000000
2009-06-30,USD,823000000,None,None,None,None,931000000,633000000,None,358000000,None,-618000000,232000000,None,None,None,None,132000000,132000000,None,None,None,None,None,None,83000000,None,None,-3086000000
2009-07-31,USD,823000000,None,None,None,None,931000000,633000000,None,358000000,None,None,232000000,None,None,None,None,132000000,132000000,None,None,None,None,54000000,None,83000000,None,None,-3086000000
2010-06-30,USD,1932000000,None,None,None,None,780000000,639000000,None,-170000000,None,-752000000,-344000000,None,None,None,None,None,None,None,None,None,None,-584000000,None,57000000,None,None,1609000000
2011-06-30,USD,1264000000,None,None,None,None,754000000,843000000,-95000000,-115000000,None,-981000000,131000000,None,None,None,None,74000000,74000000,None,None,None,None,-822000000,None,51000000,414000000,None,511000000
2012-06-30,USD,3262000000,None,None,None,None,814000000,636000000,-824000000,99000000,None,-1114000000,-3118000000,None,None,None,None,372000000,372000000,None,None,None,None,-2426000000,None,51000000,-970000000,None,2862000000
2013-06-30,USD,3047000000,None,None,None,None,873000000,786000000,-661000000,102000000,None,-825000000,-2222000000,None,None,None,None,518000000,518000000,None,None,None,None,-1654000000,None,76000000,1000000,1000000,1838000000
2014-06-30,USD,2558000000,None,None,None,None,879000000,559000000,221000000,-20000000,None,-322000000,-1311000000,None,None,None,None,557000000,557000000,None,None,None,None,-1912000000,None,118000000,926000000,1000000,1570000000
2015-06-30,USD,2647000000,None,None,None,None,841000000,747000000,45000000,29000000,None,-1287000000,-1495000000,None,None,None,None,664000000,664000000,None,None,None,None,-1087000000,None,137000000,-155000000,-20000000,1742000000
2016-06-30,USD,1680000000,None,None,None,None,815000000,587000000,464000000,145000000,None,-1211000000,-1820000000,None,None,None,None,727000000,727000000,None,None,None,None,-1090000000,None,120000000,-1354000000,-3000000,248000000
2017-06-30,USD,1916000000,None,None,None,None,749000000,434000000,122000000,-114000000,None,-459000000,-46000000,None,None,None,None,561000000,561000000,None,None,None,None,-460000000,None,137000000,1411000000,None,772000000
2018-06-30,USD,2113000000,None,None,None,None,598000000,366000000,87000000,-71000000,None,-1588000000,-1211000000,None,None,None,None,726000000,726000000,None,None,None,None,-361000000,None,112000000,-686000000,None,1182000000
2019-06-30,USD,1761000000,None,None,None,None,541000000,602000000,204000000,80000000,None,846000000,-2212000000,None,None,None,None,713000000,713000000,None,None,None,None,-963000000,None,99000000,395000000,None,2012000000
2020-06-30,USD,1714000000,None,None,None,None,379000000,585000000,-127000000,-166000000,None,-635000000,-1605000000,None,None,None,None,673000000,673000000,None,None,None,None,-850000000,None,109000000,-526000000,None,1004000000
2021-06-30,USD,1626000000,None,None,None,None,397000000,498000000,None,-64000000,None,-466000000,-1673000000,None,None,None,None,649000000,649000000,None,None,None,None,-2047000000,None,112000000,None,None,1314000000
2022-06-30,USD,1657000000,None,None,None,None,451000000,381000000,None,-361000000,None,-352000000,-1899000000,None,None,None,None,610000000,610000000,None,None,None,None,-1799000000,None,145000000,None,None,1649000000
2023-06-30,USD,942000000,None,None,None,None,513000000,316000000,911000000,425000000,None,217000000,-988000000,None,None,None,None,582000000,582000000,None,None,None,None,-408000000,None,115000000,171000000,None,-529000000
2024-06-30,USD,918000000,None,None,None,None,264000000,254000000,None,-99000000,None,126000000,-473000000,None,None,None,None,585000000,585000000,None,None,None,None,-38000000,None,127000000,None,None,335000000
2025-06-30,USD,1083000000,None,None,None,None,251000000,265000000,None,-201000000,None,-276000000,-1274000000,None,None,None,None,600000000,600000000,None,None,None,None,0,None,200000000,None,None,1469000000
