fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-09-30,USD,262679000,773750000,511071000,511071000,-66327000,135800000,164106000,329006000,None,None,None,14797000,None,None,None,42353000,-72774000,15378000,None,None,None,-39372000,2981000,-88152000
2007-09-30,USD,287385000,741744000,454359000,454359000,58486000,95000000,126075000,228899000,None,None,None,12590000,None,None,None,43692000,56770000,-880000,None,None,None,64216000,107908000,57650000
2008-09-30,USD,342963000,860017000,517054000,517054000,90371000,100000000,146013000,252592000,None,None,None,7330000,None,None,None,53398000,82188000,-28818000,None,None,None,90938000,144336000,111006000
2009-09-30,USD,318220000,802577000,484357000,484357000,71703000,100400000,123996000,246517000,None,None,None,8290000,None,None,None,50531000,69756000,-25227000,None,None,None,78046000,128577000,94983000
2010-09-30,USD,456833000,1071849000,615016000,615016000,199744000,117900000,134140000,257089000,None,None,None,4246000,None,-424000,None,55402000,195074000,57780000,None,137294000,None,199320000,254722000,137294000
2011-09-30,USD,620300000,1418900000,798600000,798600000,295300000,137238000,168600000,325000000,None,None,None,1900000,None,498000,None,78000000,293900000,67300000,None,226585000,None,295800000,373800000,226600000
2012-09-30,USD,667100000,1568600000,901500000,901500000,255600000,136300000,212500000,411500000,None,None,None,667000,None,9000,None,102700000,254900000,52900000,None,202078000,None,263400000,366100000,202000000
2013-09-30,USD,766600000,1792000000,1025400000,1025400000,345100000,159700000,226300000,421500000,None,None,None,6400000,None,-600000,None,103400000,344500000,66400000,None,278100000,None,351500000,454900000,278100000
2014-09-30,USD,1022700000,2291500000,1268800000,1268800000,565200000,171800000,252200000,457500000,None,None,None,600000,None,None,None,122700000,565200000,107500000,None,457700000,None,565500000,688200000,457700000
2015-09-30,USD,1554500000,3258400000,1703900000,1703900000,1023100000,191300000,303200000,531400000,None,None,None,6300000,None,500000,None,195800000,1023600000,225300000,None,798300000,None,1026500000,1222300000,798300000
2016-09-30,USD,1665200000,3289000000,1623800000,1623800000,1118700000,195900000,312400000,546500000,None,None,None,160800000,None,-6600000,None,247800000,1200600000,205400000,None,995200000,None,1123500000,1371300000,995200000
2017-09-30,USD,1841800000,3651400000,1809600000,1809600000,1253800000,204600000,355200000,588000000,None,None,None,2000000,None,3200000,None,254800000,1257000000,246800000,None,1010200000,None,1254400000,1509200000,1010200000
2018-09-30,USD,1950700000,3868000000,1917300000,1917300000,1319300000,207800000,404500000,631400000,None,None,None,11200000,None,12800000,None,299200000,1332100000,413700000,None,918400000,None,1320100000,1619300000,918400000
2019-09-30,USD,1603800000,3376800000,1773000000,1773000000,952000000,198300000,424100000,651800000,None,None,18800000,4600000,None,9000000,None,371600000,961000000,107400000,None,853600000,None,961000000,1332600000,853600000
2020-09-30,USD,1612900000,3355700000,1742800000,1742800000,891800000,231000000,464100000,721100000,None,0,9600000,27700000,None,-100000,None,364300000,891700000,76900000,None,814800000,None,891700000,1256000000,814800000
2021-09-30,USD,2512400000,5109100000,2596700000,2596700000,1612700000,322500000,532300000,899700000,None,-13400000,1200000,13400000,None,-600000,None,436700000,1598700000,100400000,None,1498300000,None,1612100000,2048800000,1498300000
2022-09-30,USD,2604300000,5485500000,2881200000,2881200000,1527000000,329800000,617900000,1077300000,None,-47900000,None,47900000,None,-2500000,None,690100000,1476600000,201400000,None,1275200000,None,1524500000,2214600000,1275200000
2023-09-30,USD,2107300000,4772400000,2665100000,2665100000,1125000000,314000000,606800000,982300000,None,-64400000,None,64400000,None,None,None,613700000,1078800000,96000000,None,982800000,None,1143200000,1756900000,982800000
2024-09-30,USD,1720800000,4178000000,2457200000,2457200000,637400000,300800000,631700000,1083400000,None,-30700000,None,30700000,None,None,None,451300000,636400000,40400000,None,596000000,None,667100000,1118400000,596000000
2025-09-30,USD,1682100000,4086900000,2404800000,2404800000,500000000,371500000,785500000,1182100000,None,-27100000,None,27100000,None,None,None,463000000,526700000,49600000,None,477100000,None,553800000,1016800000,477100000
