fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2006-12-31,USD,1721055000,889410000,568025000,568025000,93070000,155770000,831645000,366349000,None,8958999,8958999,69147000,None,None,47766000,21610000,None,359868000,259716000,40082000,None,None,None,100151999,None,None,None,None,None,183582000,None,1361187000,None,224862000,23619000,204414000
2007-12-31,USD,1555288000,944933000,562371000,562371000,80313000,189487000,610355000,352707000,None,5991999,5991999,69147000,None,None,75593000,37169000,None,326114000,223234000,57426000,None,None,None,102879999,None,None,None,None,None,160621000,None,1229174000,None,148125000,21636000,185374000
2008-12-31,USD,1235247000,678653000,322705000,322705000,168451000,109625000,556594000,298449000,None,186998000,186998000,None,None,None,-110009000,77872000,None,529135000,366963000,61164000,None,None,122500000,162171999,None,None,None,None,122500000,150481000,None,706112000,None,-291376000,21206000,170593000
2009-12-31,USD,1235337000,762292000,416737000,416737000,90836000,125236000,473044999,246362000,None,152192000,152192000,None,None,None,46933000,82550000,None,570758000,283357000,66765000,None,None,2157000,287401000,None,141100000,None,None,143257000,185738000,None,664579000,None,-421606000,21864000,173604000
2010-12-31,USD,1810355000,1176618000,397737000,397737000,117642000,176483000,633737000,231577000,-548496000,122941000,122941000,0,None,248696000,409061000,75695000,None,688167000,363704000,81979000,None,None,2450000,324463000,None,150182000,None,None,152632000,270810000,92874000,1122188000,0,-41876000,22755000,226807000
2011-12-31,USD,2188639000,1099887000,573736000,573736000,160063000,129330000,1088752000,232207000,-565987000,392975000,392975000,352778000,None,84407000,96502000,140256000,None,683579000,373684000,69842000,None,None,2573000,309894999,None,159956000,None,None,162529000,300409000,100349000,1505060000,0,318857000,22948000,226820000
2012-12-31,USD,2429345000,1236061000,338920000,338920000,139410000,153423000,1193283999,265782000,None,318867000,318867000,349272000,None,235872000,431516000,172792000,None,650990000,297828000,58324000,None,None,2328000,353162000,None,171059000,None,None,173387000,224870000,115675000,1778355000,0,401285000,23488000,230246000
2013-12-31,USD,2629824000,1440277000,341638000,341638000,137939000,157642000,1189547000,275236000,None,252291000,252291000,361792000,None,271078000,586882000,216176000,None,644730000,475632000,62874000,None,None,186663000,169098000,None,0,None,None,186663000,214762000,115106000,1985094000,0,566232000,23966000,235599000
2014-12-31,USD,2538520000,1243846000,294256000,294256000,171101000,151034000,1294674000,329038000,None,190600000,190600000,273438000,None,470789000,533787000,93668000,None,459540000,292406000,47763000,None,None,20049000,167134000,None,0,None,None,None,224594000,123890000,2078980000,0,610079000,27077000,222550000
2015-12-31,USD,2548674000,1259968000,264705000,264705000,153588000,211293000,1288706000,273414000,None,239831000,239831000,488413000,None,265928000,477696000,152686000,None,582888000,372857000,92358000,None,None,179472000,210031000,None,0,None,None,None,173221000,157623000,1965786000,0,467828000,25455000,213321000
2016-12-31,USD,2762493000,1623803000,307884000,307884000,135958000,192444000,1138690000,253821000,None,100401000,100401000,223343000,None,433843000,871024000,116493000,None,933834000,372696000,95362000,None,None,187475000,561138000,None,352669000,352669000,None,540144000,1050000,37282000,1828659000,0,230292000,24897000,202578000
2017-12-31,USD,3109545000,2270281000,429843000,429843000,107525000,272783000,839264000,268447000,None,79088000,79088000,252011000,None,125926000,1347979000,112151000,None,1155899000,454336000,86393000,None,None,259832000,701563000,None,365987000,365987000,None,625819000,24497000,20605000,1953646000,0,272013000,24444000,201641000
2018-12-31,USD,2706606000,1732473000,926752000,926752000,153541000,291267000,974133000,279821000,None,125482000,125482000,381850000,None,87731000,190096000,170817000,None,1184252000,477003000,100688000,None,None,36185000,707249000,None,379981000,None,None,416166000,261703000,35678000,1522354000,None,-158191000,21940000,192605000
2019-12-31,USD,2787014000,1658884000,773924000,773924000,340083000,362368000,1128130000,320216000,None,125480000,125480000,416431000,None,104490000,137303000,45206000,None,1306856000,539029000,126617000,None,None,19476000,767827000,65325000,394687000,None,None,505861000,243860000,313096000,1480158000,None,-241918000,20801000,179459000
2020-12-31,USD,3652346000,2415434000,914121000,914121000,434475000,497506000,1236911999,394800000,None,100939000,100939000,453859000,None,117980000,522280000,47052000,None,1441541000,700871000,133663000,None,None,53916000,740670000,62646000,376768000,33343000,None,514830000,297902000,7227000,2210805000,None,387414000,24552000,183042000
2021-12-31,USD,3809425000,2576227000,1122199000,1122199000,607808000,550749000,1233198000,456047000,None,75635000,75635000,426024000,None,133858000,244231000,51240000,None,1245469000,805120000,153133000,None,None,39159000,440349000,76155000,89244000,19182000,None,240759000,377854000,None,2563956000,None,736566000,21793000,183625000
2022-12-31,USD,3501252000,2257915000,854773000,854773000,816124000,491145000,1243337000,418683000,None,53478000,53478000,403195000,None,110777000,39612000,56261000,None,1049958000,746263000,139722000,None,None,68709000,303695000,82770000,None,50115000,None,197061000,324537000,None,2451294000,None,725729000,19470000,169734000
2023-12-31,USD,3486824000,2162035000,757571000,757571000,309974000,422124000,1324789000,None,None,35404000,35404000,415652000,None,117434000,62154000,37992000,None,960927000,659951000,180131000,None,None,17522000,300976000,82614000,None,None,None,82614000,7379000,None,2525897000,None,706514000,19087000,164304000
2024-12-31,USD,3708714000,1816397000,553354000,553354000,664367000,471426000,1892317000,None,None,15927000,15927000,395367000,None,618615000,46312000,80938000,None,889420000,624579000,134792000,None,None,18699000,264841000,76621000,None,None,None,134543000,363378000,None,2819294000,None,970761000,20215000,163314000
2025-12-31,USD,4170252999,1935954000,293751000,293751000,379552000,773567000,2234299000,None,None,51271000,51271000,521019000,None,663354000,28247000,460837000,None,1374500999,1101861000,269185000,None,None,219340000,272639999,83239000,None,200000000,None,347138000,473558000,None,2795752000,None,744435000,2795752000,157651000
