fiscalDateEnding,reportedEPS
1996-12-31,0.25
1997-12-31,0.51
1998-12-31,0.45
1999-12-31,0.91
2000-12-31,1.23
2001-12-31,0.12
2002-12-31,0.22
2003-12-31,0.46
2004-12-31,1.04
2005-12-31,1.4
2006-12-31,1.64
2007-12-31,1.82
2008-12-31,1.51
2009-12-31,1.28
2010-12-31,2.53
2011-12-31,2.32
2012-12-31,1.64
2013-12-31,2.03
2014-12-31,2.72
2015-12-31,3.04
2016-12-31,3.47
2017-12-31,4.48
2018-12-31,5.72
2019-12-31,5.27
2020-12-31,6.23
2021-12-31,8.47
2022-12-31,9.69
2023-12-31,7.06
2024-12-31,5.16
2025-12-31,5.57
2026-03-31,1.71
