fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2020-03-31,None,6794803,31713909,24919106,24919106,1321391,1407926,192767,5473412,None,None,None,None,None,None,None,84564,1230615,184180,None,None,None,1321391,1405955,1046435
2020-06-30,None,6794802,31713908,24919106,24919106,1321390,1407926,192767,5473412,None,None,None,None,None,None,None,84564,1230614,184179,None,None,None,1321390,1405954,1046435
2020-09-30,None,7651520,35891376,28239856,28239856,2458284,1390759,254995,5193236,None,None,None,None,None,None,None,80858,2198054,273767,None,None,None,2281924,2362782,1924287
2020-12-31,USD,7104000,35508508,28404509,28404509,1181048,1614356,173725,5922951,None,-152931,32242,185173,None,None,None,310818,845909,132318,None,713591,None,1181048,1491866,713591
2021-03-31,USD,7317031,36375689,29058658,29058658,1883771,1359022,133768,5433260,None,-73112,8200,81312,None,None,None,74311,3416901,455487,None,2961414,None,3498213,3572524,2961414
2021-06-30,USD,9188937,42490357,33301420,33301420,3320925,1623917,155356,5868012,None,-83405,2578,85983,None,None,None,67937,3136225,628324,None,2507901,None,3222208,3290145,2507901
2021-09-30,USD,8129002,50886390,42757388,42757388,1807569,1517753,197032,6321433,None,-120628,68,120628,None,None,None,71033,1627548,231734,None,1395814,None,1748176,1819209,1395814
2021-12-31,USD,7567438,52190590,44623152,44623152,712465,1694097,159913,6854973,None,-96897,26433,123330,None,None,None,73797,686876,-353911,None,1040787,None,810206,884003,1040787
2022-03-31,USD,7524586,43575239,36050653,36050653,690746,1842807,313681,6833840,None,-131721,31,131752,None,None,None,68957,657870,127677,None,530193,None,789622,858579,530193
2022-06-30,USD,8420953,47809014,39388061,39388061,1729349,2093162,235735,6691604,None,-107338,102,107440,None,None,None,69256,1555937,385407,None,1170530,None,1663377,1732633,1170530
2022-09-30,USD,8040610,38544062,30503452,30503452,1668292,1865325,238638,6372318,None,-158727,306,159033,None,None,None,44191,1581315,309173,None,1272142,None,1668292,1712483,1272142
2022-12-31,USD,7522856,31790227,24267371,24267371,1003591,6253343,265922,30786636,None,-199853,2720,202573,None,None,None,None,745428,None,None,707055,None,None,984259,707055
2023-03-31,USD,7202158,27162266,19960108,19960108,-2927,2142245,351751,7205085,None,-248262,1375,249637,None,None,None,421037,-270746,32629,None,-303375,None,-21109,399928,-303375
2023-06-30,USD,8010402,29189913,21179511,21179511,580275,2252503,377106,7430127,None,-289664,4047,293711,None,None,None,43199,279927,191446,None,88481,None,573642,616841,88481
2023-09-30,USD,7829287,29932612,22103325,22103325,481690,2351307,423697,7347597,None,-15280,1102,16382,None,None,None,536737,516008,172516,None,343492,None,532390,1069127,409535
2023-12-31,USD,8969927,30956813,21986886,21986886,1245410,1678028,224290,7724522,None,-185980,4019,190000,None,None,None,1882246,862599,411633,None,450966,None,1052598,2934844,538963
2024-03-31,USD,8413483,30753519,22340036,22340036,-320934,2282858,320673,8734417,None,-221653,554,222207,None,None,None,585666,-515570,22289,None,-537859,None,-293363,292303,-412189
2024-06-30,USD,8963302,29370949,20407647,20407647,-450362,2622020,530797,9413664,None,-300981,4113,305094,None,None,None,879198,-321830,-298415,None,-23415,None,-16736,862462,163565
2024-09-30,USD,9308222,36099179,26790957,26790957,-65826,2637141,451975,9374048,None,-365836,584,366420,None,None,None,678185,-430711,267537,None,-698248,None,-65826,612359,-550137
2024-12-31,USD,8742333,35594426,26852093,26852093,-1262469,2657895,395938,10004802,None,-348480,4541,353021,None,None,None,1033394,-1013987,-539232,None,-474755,None,-660969,372425,-402328
2025-03-31,USD,8900258,33212548,24312290,24312290,-1280859,2701213,316726,10181117,None,-302319,441,302760,None,None,None,710404,-1555087,-739530,None,-815557,None,-1252328,-541924,-629092
2025-06-30,USD,8706607,30998260,22291653,22291653,-832338,2844715,484502,9538945,None,-280503,1688,282191,None,None,None,739159,-1579041,-214576,None,-1364465,None,-1296850,-557691,-1231524
2025-09-30,USD,9498668,35848861,26350193,26350193,369723,2784507,283867,9128945,None,-402175,661,402836,None,None,None,706524,-68467,1879599,None,-1948066,None,334369,1040893,-1651332
2025-12-31,USD,8145559,30468983,22323424,22323424,-658582,8471907,332234,31127565,None,-340575,2352,342927,None,None,None,None,-1136419,None,None,-2997318,None,None,None,-2627578
2026-03-31,None,8328318,30468983,22140665,22140665,-658582,2776128,1085095,8986900,None,None,None,342927,None,None,None,None,-1136419,1860899,None,None,None,None,-658582,-2627578
