fiscalDateEnding,reportedEPS
1996-12-31,2.45
1997-12-31,2.63
1998-12-31,2.59
1999-12-31,2.88
2000-12-31,2.58
2001-12-31,1.47
2002-12-31,1.54
2003-12-31,0.74
2004-12-31,0.85
2005-12-31,1.24
2006-12-31,1.13
2007-12-31,0.89
2008-12-31,1.26
2009-12-31,1.26
2010-12-31,1.37
2011-12-31,1.46
2012-12-31,1.57
2013-12-31,1.65
2014-12-31,1.77
2015-12-31,1.89
2016-12-31,2.03
2017-12-31,2.17
2018-12-31,2.33
2019-12-31,2.49
2020-12-31,2.68
2021-12-31,2.84
2022-12-31,2.89
2023-12-31,3.11
2024-12-31,3.34
2025-12-31,3.61
2026-03-31,1.13
