fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-18,0.38,0.34,0.04,11.7647,pre-market
1996-06-30,1996-07-18,0.39,0.37,0.02,5.4054,pre-market
1996-09-30,1996-10-18,0.61,0.65,-0.04,-6.1538,pre-market
1996-12-31,1997-01-17,0.31,0.32,-0.01,-3.125,pre-market
1997-03-31,1997-04-17,0.35,0.37,-0.02,-5.4054,pre-market
1997-06-30,1997-07-18,0.34,0.38,-0.04,-10.5263,pre-market
1997-09-30,1997-10-17,0.7,0.65,0.05,7.6923,pre-market
1997-12-31,1998-01-16,0.37,0.32,0.05,15.625,pre-market
1998-03-31,1998-04-16,0.38,0.38,0,0,pre-market
1998-06-30,1998-07-17,0.4,0.37,0.03,8.1081,pre-market
1998-09-30,1998-10-16,0.61,0.69,-0.08,-11.5942,pre-market
1998-12-31,1999-01-22,0.46,0.4,0.06,15,pre-market
1999-03-31,1999-04-15,0.41,0.41,0,0,pre-market
1999-06-30,1999-07-16,0.37,0.4,-0.03,-7.5,pre-market
1999-09-30,1999-10-13,0.74,0.7,0.04,5.7143,pre-market
1999-12-31,2000-01-18,0.52,0.49,0.03,6.1224,pre-market
2000-03-31,2000-04-20,0.32,0.29,0.03,10.3448,pre-market
2000-06-30,2000-06-30,0.4135,None,0,None,pre-market
2000-09-30,2000-10-23,1,0.8,0.2,25,pre-market
2000-12-31,2000-12-31,-7.6678,None,0,None,pre-market
2001-03-31,2001-05-14,0.14,0.35,-0.21,-60,pre-market
2001-06-30,2001-07-20,0.24,0.3,-0.06,-20,pre-market
2001-09-30,2001-10-19,0.68,0.88,-0.2,-22.7273,pre-market
2001-12-31,2002-02-15,0.24,0.23,0.01,4.3478,pre-market
2002-03-31,2002-05-03,0.26,0.2,0.06,30,pre-market
2002-06-30,2002-08-06,0.56,0.4,0.16,40,pre-market
2002-09-30,2002-11-01,1.08,0.82,0.26,31.7073,pre-market
2002-12-31,2003-02-25,0.18,0.02,0.16,800,pre-market
2003-03-31,2003-05-07,0.2,0.26,-0.06,-23.0769,pre-market
2003-06-30,2003-08-05,0.54,0.44,0.1,22.7273,pre-market
2003-09-30,2003-11-05,1.53,1.09,0.44,40.367,pre-market
2003-12-31,2004-02-26,0.59,0.15,0.44,293.3333,pre-market
2004-03-31,2004-05-07,0.3,0.2,0.1,50,pre-market
2004-06-30,2004-07-30,0.32,0.45,-0.13,-28.8889,pre-market
2004-09-30,2004-11-05,1.01,0.95,0.06,6.3158,pre-market
2004-12-31,2005-03-11,0.42,0.22,0.2,90.9091,pre-market
2005-03-31,2005-05-09,0.64,0.34,0.3,88.2353,pre-market
2005-06-30,2005-08-09,0.55,0.51,0.04,7.8431,pre-market
2005-09-30,2005-11-04,1.24,1.1,0.14,12.7273,pre-market
2005-12-31,2006-03-07,0.71,0.46,0.25,54.3478,pre-market
2006-03-31,2006-05-08,0.56,0.63,-0.07,-11.1111,pre-market
2006-06-30,2006-08-08,0.55,0.59,-0.04,-6.7797,pre-market
2006-09-30,2006-11-03,1.32,1.24,0.08,6.4516,pre-market
2006-12-31,2007-02-28,0.65,0.51,0.14,27.451,pre-market
