fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2005-12-31,USD,2204000000,3838000000,1634000000,1634000000,-416000000,0,0,2620000000,None,None,None,513000000,None,None,None,490000000,-631000000,165000000,None,0,None,-416000000,74000000,-837000000
2006-03-31,USD,2412000000,3861000000,1449000000,1449000000,818000000,0,0,1594000000,None,None,None,153000000,None,None,None,524000000,600000000,201000000,None,0,None,818000000,1342000000,400000000
2006-06-30,USD,2624000000,3697000000,1073000000,1073000000,1202000000,0,0,1422000000,None,None,None,154000000,None,None,None,536000000,1004000000,363000000,None,0,None,1202000000,1738000000,645000000
2006-09-30,USD,2916000000,4401000000,1485000000,1485000000,438000000,0,0,2478000000,None,None,None,154000000,None,None,None,561000000,321000000,366000000,None,0,None,438000000,999000000,-44000000
2006-12-31,USD,2483000000,3695000000,1212000000,1212000000,1148000000,0,0,1335000000,None,None,None,616000000,None,None,None,511000000,870000000,277000000,None,0,None,1148000000,1659000000,592000000
2007-03-31,USD,2814000000,4829000000,2015000000,2015000000,1191000000,0,0,1623000000,None,None,None,156000000,None,None,None,533000000,1015000000,334000000,None,0,None,1191000000,1724000000,691000000
2007-06-30,USD,2861000000,4501000000,1640000000,1640000000,1231000000,0,0,1630000000,None,None,None,161000000,None,None,None,533000000,1017000000,314000000,None,0,None,1231000000,1764000000,702000000
2007-09-30,USD,2961000000,5032000000,2071000000,2071000000,1351000000,0,0,1610000000,None,None,None,162000000,None,None,None,577000000,1238000000,459000000,None,0,None,1351000000,1928000000,780000000
2007-12-31,USD,2638000000,4554000000,1916000000,1916000000,503000000,0,0,2135000000,None,None,None,647000000,None,None,None,540000000,902000000,339000000,None,0,None,503000000,1043000000,563000000
2008-03-31,USD,2907000000,4517000000,1610000000,1610000000,1123000000,0,0,1784000000,None,None,None,180000000,None,None,None,552000000,839000000,258000000,None,0,None,1123000000,1675000000,581000000
2008-06-30,USD,3104000000,4622000000,1518000000,1518000000,1430000000,0,0,1674000000,None,None,None,180000000,None,None,None,-112000000,1168000000,419000000,None,0,None,1944000000,1832000000,748000000
2008-09-30,USD,3183000000,5228000000,2045000000,2045000000,1413000000,0,0,1770000000,None,None,None,172000000,None,None,None,1285000000,1046000000,346000000,None,0,None,1413000000,2698000000,700000000
2008-12-31,USD,3084000000,4493000000,1409000000,1409000000,1333000000,0,0,1751000000,None,None,None,699000000,None,None,None,583000000,981000000,295000000,None,0,None,900000000,1483000000,707000000
2009-03-31,USD,3263000000,4722000000,1459000000,1459000000,1255000000,0,0,2008000000,None,None,None,233000000,None,None,None,622000000,1023000000,311000000,None,0,None,1210000000,1832000000,712000000
2009-06-30,USD,2760000000,4141000000,1381000000,1381000000,1016000000,0,0,1744000000,None,None,None,180000000,None,None,None,631000000,1087000000,430000000,None,0,None,1267000000,1898000000,657000000
