fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,1931000000,None,None,None,None,620000000,1015000000,None,-188000000,None,-243000000,-1834000000,None,None,None,None,574000000,574000000,None,None,None,None,None,None,121000000,None,None,739000000
2007-12-31,USD,1918000000,None,None,None,None,591,1348000000,None,147,None,-1000000,-1642000000,None,None,None,None,594000000,594000000,None,None,None,None,None,None,403999409,None,None,1335000000
2008-12-31,USD,2345000000,None,None,None,None,793000000,1771000000,None,8000000,None,-775000000,-1629000000,None,None,None,None,655000000,655000000,None,None,None,None,-92000000,None,6000000,None,None,1188000000
2009-12-31,USD,1855000000,None,None,None,None,838000000,1794000000,None,-153000000,None,-792000000,-1034000000,None,None,None,None,673000000,673000000,None,None,None,None,0,None,-1506000000,None,None,1592000000
2010-12-31,USD,2164000000,None,None,None,None,1110000000,2160000000,None,-601000000,None,-1669000000,-565000000,None,None,None,None,693000000,693000000,None,None,None,None,-80000000,None,-1170000000,None,None,1564000000
2011-12-31,USD,3557000000,None,None,None,None,1135000000,2083000000,None,0,None,-1269000000,-1734000000,None,None,None,None,693000000,693000000,None,None,None,None,0,None,-876000000,None,None,1381000000
2012-12-31,USD,2787000000,None,None,None,None,1227000000,2574000000,None,-25000000,None,-2625000000,-617000000,None,None,None,None,718000000,718000000,None,None,None,None,0,None,25000000,None,None,1275000000
2013-12-31,USD,3158000000,None,None,None,None,1370000000,2811000000,None,5000000,None,-2801000000,-243000000,None,None,None,None,728000000,728000000,None,None,None,None,0,None,32000000,114000000,None,1243000000
2014-12-31,USD,3160000000,None,None,None,None,1427000000,2921000000,None,-30000000,None,-2892000000,-359000000,None,None,None,None,748000000,748000000,None,None,None,None,0,None,32000000,-91000000,None,1518000000
2015-12-31,USD,3919000000,None,None,None,None,1427000000,3969000000,None,-273000000,None,-3942000000,15000000,None,None,None,None,789000000,789000000,None,None,None,None,0,None,34000000,-8000000,None,1679000000
2016-12-31,USD,3313000000,None,None,None,None,1679000000,4298000000,None,323000000,None,-4248000000,966000000,None,None,None,None,830000000,830000000,None,None,None,None,0,None,29000000,29000000,None,887000000
2017-12-31,USD,3260000000,None,None,None,None,2185000000,4307000000,None,-3000000,None,-4256000000,885000000,None,None,None,None,870000000,870000000,None,None,None,None,0,None,31000000,-110000000,None,1574000000
2018-12-31,USD,2913000000,None,None,None,None,1345000000,4058000000,None,-337000000,None,-3916000000,887000000,None,None,None,None,910000000,910000000,None,None,None,None,None,None,30000000,-116000000,None,1438000000
2019-12-31,USD,3379000000,None,None,None,None,1426000000,3264000000,None,77000000,None,-3145000000,-257000000,None,None,None,None,950000000,950000000,None,None,None,None,None,None,-1878000000,-23000000,None,1693000000
2020-12-31,USD,3102000000,None,None,None,None,1469000000,3034000000,None,56000000,None,-2676000000,-30000000,None,None,None,None,991000000,991000000,None,None,None,None,None,None,-1902000000,396000000,None,1905000000
2021-12-31,USD,1736000000,None,None,None,None,1403000000,2817000000,None,105000000,None,-2244000000,799000000,None,None,None,None,1031000000,1031000000,None,None,None,None,0,None,513000000,291000000,None,-648000000
2022-12-31,USD,1503000000,None,None,None,None,1283000000,2888000000,None,None,None,-1101000000,-754000000,None,None,None,None,1079000000,1079000000,None,None,None,None,-500000000,None,29000000,-352000000,None,1031000000
2023-12-31,USD,3806000000,None,None,None,None,1324000000,3325000000,None,-296000000,None,-2958000000,-1260000000,None,None,None,None,1137000000,1137000000,None,None,None,None,0,None,18000000,None,None,2563000000
2024-12-31,USD,2133000000,None,None,None,None,1373000000,3380000000,None,-123000000,None,-3306000000,1228000000,None,None,None,None,1196000000,1196000000,None,None,None,None,0,None,None,None,None,1772000000
2025-12-31,USD,2368000000,None,None,None,None,1102000000,2043000000,None,29000000,None,-2845000000,490000000,None,None,None,None,1258000000,1258000000,None,None,None,None,None,None,None,None,None,2111000000
