fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-03-31,None,None,None,None,None,-4973,None,None,4973,None,None,None,None,None,None,None,None,-4973,None,None,None,None,None,-4973,-4973
2021-06-30,None,None,None,None,None,-27575,None,None,27575,None,None,None,None,None,None,None,None,-27575,None,None,None,None,None,-27575,-27575
2021-12-31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12457890,None,None,None,None,None,12989519,12457890
2022-03-31,None,None,None,None,None,-457081,None,None,457081,None,None,None,None,None,None,None,None,355796,None,None,None,None,None,355796,355796
2022-06-30,None,None,None,None,None,-544202,None,None,544202,None,None,None,None,None,None,None,None,4876165,None,None,None,None,None,4876165,4876165
2022-09-30,None,None,None,None,None,-445631,None,None,445631,None,None,None,None,None,None,None,None,1318234,None,None,None,None,None,1318234,1318234
2022-12-31,None,None,None,None,None,-675858,None,None,675858,None,None,None,None,None,None,None,None,1202787,86230,None,None,None,None,1201897,1115667
2023-03-31,None,None,None,None,None,-425686,None,None,425686,None,None,None,None,None,None,None,None,115795,37043,None,None,None,None,115795,78752
2023-06-30,None,None,None,None,None,-177949,None,None,177949,None,None,None,None,None,None,None,None,2612842,207539,None,None,None,None,2612842,2405303
2023-09-30,None,None,None,None,None,-185297,None,None,185297,None,None,None,None,None,None,None,None,-56141,645032,None,None,None,None,-56141,-701173
2023-12-31,None,None,None,None,None,-903481,None,None,903481,None,None,None,None,None,None,None,None,-1834396,-379321,None,None,None,None,-1834396,-1455075
2024-03-31,USD,None,0,None,None,-2646244,96358,None,2646244,None,-158820,None,58820,None,None,None,None,-2420752,84004,None,-1251155,None,None,-2420752,-2504756
2024-06-30,USD,None,0,None,None,-3762163,691824,None,3762163,None,-51244,15,51259,None,None,None,None,-3762154,30645,None,-946814,None,None,-3762163,-3762154
2024-09-30,USD,0,0,0,0,-3398272,1995414,None,3398272,None,-51374,8,51382,None,None,None,None,-3398264,None,None,-1079579,None,None,-3398272,-3398264
2024-12-31,USD,None,0,None,None,-494409,7067949,None,494409,None,-2669407,1,2769406,None,None,None,None,-532651,-218624,None,-15106805,None,None,-532651,-314027
2025-03-31,None,None,None,None,None,-1295159,None,None,1295159,None,None,None,None,None,None,None,None,-1374456,51986,None,None,None,None,-1374452,-1426442
2025-06-30,USD,None,None,None,None,None,None,None,None,None,-2067970,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025-09-30,USD,3345489,9553439,6207950,6207950,-8622854,10282825,None,11968343,None,-5028850,None,4890850,None,None,None,176244,-12514966,None,None,-12514966,None,-7624116,-8622854,-12514966
2025-12-31,USD,-5880532,4686284,10566816,10566816,-13018000,5536898,None,7137469,None,-697553,None,23514094,None,None,None,None,-16281174,-51986,None,-16281174,None,None,118866722,-16281174
