fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2006-12-31,USD,8661000000,14356000000,5695000000,5695000000,3224000000,None,None,8661000000,None,None,None,866000000,None,None,None,1421000000,2353000000,780000000,None,None,None,3219000000,4640000000,1573000000
2007-12-31,USD,8982000000,15353000000,6371000000,6371000000,3326000000,None,None,8982000000,None,None,None,886000000,None,None,None,1486000000,2569000000,835000000,None,None,None,3455000000,4941000000,1734000000
2008-12-31,USD,9494000000,17127000000,7633000000,7633000000,3506000000,None,None,9494000000,None,None,None,866000000,None,None,None,1704000000,2722000000,915000000,None,None,None,3588000000,5292000000,1807000000
2009-12-31,USD,9317000000,15743000000,6426000000,6426000000,3470000000,202000000,0,9317000000,None,None,None,905000000,None,None,None,1788000000,2604000000,896000000,None,None,None,3509000000,5297000000,1708000000
2010-12-31,USD,10194000000,17456000000,7262000000,7262000000,3802000000,0,0,10194000000,None,None,None,895000000,None,None,None,1831000000,3066000000,1026000000,None,None,None,3961000000,5792000000,2040000000
2011-12-31,USD,6849000000,17657000000,10808000000,10808000000,4231000000,0,0,2618000000,None,None,None,857000000,None,None,None,2048000000,3487000000,1219000000,None,None,None,4344000000,6392000000,2268000000
2012-12-31,USD,7164000000,16537000000,9373000000,9373000000,4463000000,0,0,2701000000,None,None,None,859000000,None,None,None,2145000000,3749000000,1334000000,None,None,None,4608000000,6753000000,2415000000
2013-12-31,USD,7270000000,17087000000,9817000000,9817000000,3255000000,934000000,0,4015000000,None,None,None,824000000,None,128000000,None,2298000000,2559000000,849000000,None,1710000000,None,3383000000,5681000000,1710000000
2014-12-31,USD,7436000000,18467000000,11031000000,11031000000,3642000000,981000000,0,3794000000,None,None,None,835000000,None,201000000,None,2293000000,3008000000,977000000,None,2031000000,None,3843000000,6136000000,2031000000
2015-12-31,USD,7678000000,17489000000,9811000000,9811000000,4282000000,997000000,0,3396000000,None,None,817000000,840000000,None,187000000,None,2395000000,3629000000,1194000000,None,2435000000,None,4469000000,6864000000,2421000000
2016-12-31,USD,8530000000,19896000000,11366000000,11366000000,4486000000,235000000,0,4044000000,None,-1317000000,1258000000,1317000000,None,None,None,2923000000,3480000000,951000000,None,2529000000,None,4797000000,7720000000,2493000000
2017-12-31,USD,9915000000,23031000000,13116000000,13116000000,2333000000,1250000000,0,7582000000,None,-1694000000,1588000000,1694000000,None,211000000,None,3457000000,1068000000,142000000,None,926000000,None,2762000000,6219000000,880000000
2018-12-31,USD,9616000000,23495000000,13879000000,13879000000,4191000000,1606000000,0,5425000000,None,-1842000000,1694000000,1842000000,None,400000000,None,3549000000,2749000000,449000000,None,2300000000,None,4591000000,8140000000,2242000000
2019-12-31,USD,9603000000,21419000000,11816000000,11816000000,7736000000,3799000000,None,1867000000,None,-1736000000,1574000000,1736000000,None,542000000,None,3331000000,6542000000,1798000000,None,4744000000,None,8278000000,11609000000,4754000000
2020-12-31,USD,9897000000,20375000000,10478000000,10478000000,4885000000,1234000000,None,5012000000,None,-1821000000,1668000000,1821000000,None,432000000,None,3905000000,3496000000,393000000,None,3103000000,None,5317000000,9222000000,3134000000
2021-12-31,USD,10247000000,23113000000,12866000000,12866000000,3698000000,1290000000,None,6549000000,None,-1837000000,1761000000,1837000000,None,715000000,None,3973000000,2576000000,267000000,None,2309000000,None,4413000000,8386000000,2408000000
2022-12-31,USD,10627000000,29279000000,18652000000,18652000000,5370000000,1411000000,None,5257000000,None,-2022000000,1871000000,2022000000,None,875000000,None,4064000000,4223000000,795000000,None,3428000000,None,6245000000,10309000000,3535000000
2023-12-31,USD,11708000000,25253000000,13545000000,13545000000,5826000000,None,None,5882000000,None,-2373000000,2302000000,2446000000,None,None,None,4986000000,4345000000,496000000,None,2915000000,None,6791000000,11777000000,3976000000
2024-12-31,USD,13342000000,26724000000,13382000000,13382000000,7068000000,None,None,6274000000,None,-2743000000,2604000000,2743000000,None,None,None,5266000000,5229000000,969000000,None,4260000000,None,7972000000,13238000000,4401000000
2025-12-31,USD,8809000000,29553000000,20744000000,20744000000,7271000000,None,None,1538000000,None,-3238000000,3126000000,3305000000,None,None,None,6030000000,4999000000,828000000,None,4171000000,None,8304000000,14334000000,4341000000
